No. of AC,Name of AC,Phase,Winner,,,,Runner up,,,,Winning Margin of Votes,Winning Margin of Votes %,3rd Position,,,,4th Position,,,,5th Position,,,,NOTA Votes,NOTA Votes %,Others & IND Parties Votes,Others & IND Parties Votes %,Total Votes,6th Position,,,,7th Position,,,,8th Position,,,,9th Position,,,,10th Position,,,,11th Position,,,,12th Position,,,,13th Position,,,,14th Position,,,,15th Position,,,,16th Position,,,,17th Position,,,,18th Position,,,,19th Position,,,,20th Position,,,,21th Position,,,,22th Position,,,,23th Position,,,,24th Position,,,,25th Position,,,,26th Position,,,,27th Position,,,
,,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,,,,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,Mubarakpur,VI,BSP,Shah Alam Urf Guddu Jamali,70705,36.64,SP,Akhilesh Yadav,70017,36.28,688,0.36,BJP,Luxman Mourya,44489,23.05,PECP,Avinash Yadav,1697,0.88,CPI,Ramharsh,1061,0.55,1628,0.84,3394,1.76,192991,IND,Ramesh Rajbhar,957,0.50,RLD,Tejbahadur Singh,687,0.36,BMUP,Nirmal Yadav,516,0.27,SHS,Harivans Mishra,433,0.22,IPH,Aftab Qamar Ansari,410,0.21,IND,Triloki,391,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Azamgarh,VI,SP,Durga Prasad,88087,41.17,BJP,Akhilesh,61825,28.90,26262,12.27,BSP,Bhupendra,58185,27.20,RLD,Patiram,1345,0.63,BMUP,Priyanka Chauhan,1061,0.50,2134,1.00,1311,0.61,213948,JANP,Manjay,792,0.37,RJM,Bhola,519,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,Nizamabad,VI,SP,Alambadi,67274,40.17,BSP,Chandra Dev Ram,48745,29.11,18529,11.06,BJP,Vinod Kumar Rai,43786,26.14,CPI,Jitendra,1366,0.82,IND,Haridas,861,0.51,1243,0.74,4200,2.51,167475,IND,Rajnet Yadav,656,0.39,IND,Rajkumar,651,0.39,PMP,Jai Jai Ram,651,0.39,NCP,Yatinjay Raj,538,0.32,IND,Bablu,443,0.26,BMUP,Ram Nayan Chauhan,406,0.24,IND,Jai Ram Sonkar,257,0.15,MKD,Ramkesh,241,0.14,ASAP,Dinesh,182,0.11,RaJaPa,Nalinikant,175,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Phoolpur Pawai,VI,BJP,Arun Kumar Yadav,68435,38.35,BSP,Abul Qais Azmi,61140,34.26,7295,4.09,SP,Shyam Bahadur Singh Yadav,38099,21.35,NISHAD,Ramsurat,4012,2.25,CPI,Ramagya Yadav,1382,0.77,1609,0.90,3778,2.12,178455,RLD,Ramsingh Yadav,916,0.51,IND,Nesar Ahamad,692,0.39,MKD,Bhanupratap Yadav,574,0.32,IND,Abushad Quraishi,415,0.23,IND,Ghanshyam,389,0.22,ASAP,Reeta Maurya,316,0.18,BMUP,Mo. Majkkir,251,0.14,IND,Achchelal,225,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Didarganj,VI,BSP,Sukhdev Rajbhar,62125,33.15,SP,Adil Shaikh,58480,31.20,3645,1.95,BJP,Krishna Murari,49979,26.67,IND,Archana,6828,3.64,MKD,Jashwant,2227,1.19,1653,0.88,6127,3.27,187419,NISHAD,Ranvijay,2105,1.12,RLD,Ram Singh,1064,0.57,AIFB,Krishna Kant Yadav,728,0.39,IND,Shivbachan,684,0.36,JSEP,Sukhnayan,537,0.29,BSDP,Rizvan,367,0.20,LD,Narendra,364,0.19,BMUP,Jitendra Kumar,278,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,Lalganj (SC),VI,BSP,Azad Ari Mardan,72715,35.71,BJP,Daroga Prasad Saroj,70488,34.61,2227,1.10,SP,Bechai Saroj,54196,26.61,MKD,Uma Shankar Sonkar,1708,0.84,IND,Ram Chandar,864,0.42,2123,1.04,1552,0.76,203646,MMD,Sandeep,573,0.28,BMUP,Sunita Bharti,530,0.26,NDF,Mantraj,449,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Mehnagar (SC),VI,SP,Kalpnath Paswan,69037,34.15,SBSP,Manjoo Saroj,63625,31.48,5412,2.67,BSP,Vidhya Chaudhari,60198,29.78,UPRP,Karmveer Azad,1141,0.56,RLD,Dulare,1076,0.53,2492,1.23,4566,2.26,202135,CPIM,Ram Briksh,1040,0.51,ASAP,Renu Devi,923,0.46,BMUP,Prakash Chandra,913,0.45,MKD,Suman,887,0.44,PMP,Sangita,803,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Madhuban,VI,BJP,Dara Singh Chauhan,86238,40.26,INC,Amresh Chand,56823,26.53,29415,13.73,BSP,Umesh Pandey,54803,25.58,CPI,Ramkunwar Singh,2363,1.10,NISHAD,Banshraj,2290,1.07,683,0.32,11019,5.14,214219,MBCOI,Raju Sharma,1671,0.78,RLD,Bhirgun,1299,0.61,BMUP,Vijayshankar,1082,0.51,JANP,Pahlawan,987,0.46,PoPP,Bhanu Pratap,863,0.40,IND,Ramesh Chand Pandey,751,0.35,IND,Rampravesh,725,0.34,LD,Kanhaiya Yadav,522,0.24,IND,Shrikant Yadav,505,0.24,RaJaPa,Anand Kumar Pandey,438,0.20,RSP,Chandrika Pal,430,0.20,NCP,Raghubeer Yadav,386,0.18,IND,Surya Kumar,370,0.17,SHS,Devendra Singh,357,0.17,DNP,Ashutosh Kumar Vishvakarma,341,0.16,AMSP,Narendra,292,0.14,,,,,,,,,,,,,,,,,,,,,,,,
354,Ghosi,VI,BJP,Fagu Chauhan,88298,36.54,BSP,Abbas Ansari,81295,33.64,7003,2.90,SP,Sudhakar,59256,24.52,CPI,Vivek Rai,2285,0.95,IND,Yogendra,1894,0.78,1585,0.66,7021,2.91,241634,RLD,Dev Prakash,1404,0.58,IND,Vijay Yadav,1252,0.52,IND,Sanjay Kumar Yadav,1113,0.46,IND,Sanjay Singh,914,0.38,IND,Md. Husain,658,0.27,AMSP,Chaklal,635,0.26,IND,Dinanath Chauhan,293,0.12,BMUP,Rampyare Chauhan,284,0.12,IND,Darbari Chauhan,249,0.10,JANP,Mohan,219,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,Muhammadabad- Gohna (Sc),VI,BJP,Shriram Sonkar,73493,34.70,BSP,Rajendra Kumar,72955,34.45,538,0.25,SP,Baijnath,59871,28.27,PMP,Prabhu Ram,1179,0.56,JANP,Suryabhan Bhaskar,936,0.44,1945,0.92,1406,0.66,211785,BMUP,Faujdar Prasad,768,0.36,PoPP,Meena Devi,638,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,Mau,VI,BSP,Mukhtar Anshari,96793,36.39,SBSP,Mahendra Rajbhar,88095,33.12,8698,3.27,SP,Altaf Ansari,72016,27.07,CPI,Ram Soch Yadav,1514,0.57,PECP,Mahfujurrahman,1301,0.49,1725,0.65,4571,1.72,266015,IND,Ram Ashish,934,0.35,LGP,Ramesh Singh,850,0.32,IND,Haisamuddin,757,0.28,CPI(ML)(L),Basant Kumar,582,0.22,BMUP,Lakhan,349,0.13,PMP,Shah Alam Qureshi,332,0.12,SHS,Kaushlendra Pratap Singh,291,0.11,AMSP,Kanhaiya,263,0.10,JANP,Pramod,213,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,Belthara Road (SC),VI,BJP,Dhananjay Kannoujia,77504,40.82,SP,Gorakh Paswan,59185,31.17,18319,9.65,BSP,Ghoora Ram,47297,24.91,RLD,Dheerendra Kumar,1031,0.54,IND,Shivkumari,750,0.39,1305,0.69,2806,1.48,189878,IND,Ram Lakhan,488,0.26,GGP,Barakhu Ram,479,0.25,IND,Bindumati,477,0.25,PJD,Tara Devi,255,0.13,MKP,Soni,233,0.12,BMUP,Ram Sharik Advocate,229,0.12,IND,Pankaj,223,0.12,SUCI(C),Shailendra,218,0.11,JANP,Ramlal Rahi,204,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,Rasara,VI,BSP,Uma Shanker Singh,92272,47.77,BJP,Ram Iqball Singh,58385,30.23,33887,17.54,SP,Sanatan Pandey,37006,19.16,NCP,Ram Janam Singh Chuhan,1251,0.65,IND,Ramashry,690,0.36,1558,0.81,1989,1.03,193151,IND,Bhola Prasad,546,0.28,JANP,Arun Kumar Singh Chauhan,463,0.24,BMUP,Bandhu,258,0.13,IND,Ajay Kumar Sharma,254,0.13,RJBVP,Sunil,238,0.12,AMSP,Geeta,230,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,Sikanderpur,VI,BJP,Sanjay Yadav,69536,42.24,SP,Ziauddin Rizwi,45988,27.94,23548,14.30,BSP,Rajnarain,34968,21.24,IND,Arvind Rai,2936,1.78,JANP,Satyendra Yadav,2260,1.37,1122,0.68,7805,4.74,164615,IND,Munna Chauhan,2066,1.26,CPI(ML)(L),Sri Ram Chaudhary,1365,0.83,IND,Vinod Tiwari,1295,0.79,IND,Balwant Singh Yadav,1058,0.64,RLD,Ajit Kumar Pandey,1038,0.63,BMUP,Mustak,983,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Phephana,VI,BJP,Upendra Tiwari,70588,39.51,BSP,Ambika Choudhary,52691,29.49,17897,10.02,SP,Sangram Singh Yadav,50016,28.00,RLD,Saudagar Yadav,1083,0.61,JAM,Matadeen,628,0.35,1473,0.82,2168,1.21,178647,IND,Raju Singh,500,0.28,IND,Usha Rai,406,0.23,IND,Amrita Devi,402,0.23,BMUP,Satyanand,338,0.19,VIP,Harendra Yadav,277,0.16,IND,Dhirendra Kumar,245,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,Ballia Nagar,VI,BJP,Anand,92889,49.96,SP,Laxman,52878,28.44,40011,21.52,BSP,Narad,31515,16.95,IND,Ramji,1432,0.77,GGP,Arvind Kumar Gond,1047,0.56,1716,0.92,4465,2.40,185942,CPIM,Shailesh,878,0.47,RLD,Mithilesh Kumar Pandey,779,0.42,IND,Dr Syed Shuaibul Islam,746,0.40,IND,Sunil,468,0.25,IND,Radha Krishn,429,0.23,IND,Surendra Prasad,378,0.20,BMUP,Sunita Devi,319,0.17,NP,Lachhuman,240,0.13,JANP,Madan Lal Verma,228,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,Bansdih,VI,SP,Ram Govind Chaudheri,51201,24.39,IND,Ketakee Singh,49514,23.59,1687,0.80,SBSP,Arvind Rajbhar,40234,19.17,BSP,Shivshankar,38745,18.46,LD,Niraj Singh Gudu,10315,4.91,918,0.44,19006,9.05,209933,IND,Arvind,6080,2.90,IND,Jawahir,2718,1.29,IND,Punam,1684,0.80,BJKD(D),Sanjay Kumar Singh,1244,0.59,RLD,Ramesh Pandey (Bablu Ji),1171,0.56,PSP,Chhoottu Prasad Gupta,1164,0.55,IND,Pramod Paswan,770,0.37,IND,Jairam,755,0.36,JANP,Rajesh,735,0.35,IND,Amarjit Kumar Singh,710,0.34,IND,Dharmendra,697,0.33,IND,Rajeev,688,0.33,IND,Sangram Singh,590,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,Bairia,VI,BJP,Surendra,64868,40.02,SP,Jay Prakash Anchal,47791,29.48,17077,10.54,BSP,Javahar,27974,17.26,IND,Ashani Singh,6122,3.78,IND,Manoj,5946,3.67,762,0.47,8637,5.33,162100,IND,Sanjay,2197,1.36,RLD,Barmeshwar,934,0.58,IND,Santosh,926,0.57,BMUP,Gopal,820,0.51,GGP,Suchit,759,0.47,IND,Vikramaditya,657,0.41,IND,Anil,595,0.37,IND,Lalit,451,0.28,IND,Janardan,388,0.24,PJD,Bharat,335,0.21,PoPP,Rohit Kumar Singh,288,0.18,BKP,Mohan,287,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,Badlapur,VII,BJP,Ramesh Chandra Mishra,60237,31.61,BSP,Lalji Yadava,57865,30.36,2372,1.25,SP,Omprakash 'Baba' Dubey,46545,24.42,NISHAD,Sabhapati,15565,8.17,RLD,Mrigendra Singh Alias Shivbaba,3763,1.97,1612,0.85,5003,2.63,190590,SHS,Paritosh,1078,0.57,IND,Santosh Kumar Yadav,809,0.42,SUCI(C),Jai Narayan Maurya,779,0.41,HSP,Anil Kumar Singh,778,0.41,LD,Ashfak,556,0.29,RSVP,Anjana Singh,368,0.19,BNVP,Arvind Kumar Shukla,341,0.18,NDPF,Mo..Kasim,294,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,Shahganj,VII,SP,Shailendra Yadav Lalai,67818,31.65,SBSP,Rana Ajeet Pratap Singh,58656,27.38,9162,4.27,BSP,Om Prakash(O.P. Singh),51176,23.89,NISHAD,Dr. Suryabhan Yadav,21446,10.01,RLD,Dinesh Yadav Alias Dinesh Kant,6462,3.02,1473,0.69,7212,3.37,214243,JANP,Pavan,1178,0.55,IND,Lal Bahadur Verma,887,0.41,IND,Sudama Devi Yadav,871,0.41,SaSP,Anurag Pandey,853,0.40,IND,Om Prakash Tiwari,735,0.34,MAP,Ram Sumer Bind,717,0.33,BMUP,Ramanand Nishad,600,0.28,AIJCP,Sonu Khan,576,0.27,IND,Bajrang Bali Dubey,461,0.22,IND,Rahul,334,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,Jaunpur,VII,BJP,Girish Chandra Yadav,90324,40.04,INC,Nadeem Javed,78040,34.60,12284,5.44,BSP,Dinesh Tandan,41877,18.56,NISHAD,Sher Bahadur,5797,2.57,IND,Manna Lal Verma,1473,0.65,1939,0.86,6127,2.72,225577,IND,Sachchidanand,1423,0.63,RLD,Sunil Kumar Singh,1098,0.49,SSAP,Abhishek Kumar,1008,0.45,PECP,Lal Prakash Pal,581,0.26,LD,Manoj Kumar,376,0.17,MKD,Rayees Ahamad,363,0.16,BMUP,Mahendra Lal,354,0.16,IEMC,Ladlay,335,0.15,MMD,Daya Ram,302,0.13,RSVP,Praveen Kumar,287,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,Malhani,VII,SP,Parasnath Yadav,69351,33.40,NISHAD,Dhananjay Singh,48141,23.18,21210,10.22,BSP,Vivek Yadav,46011,22.16,BJP,Satish Kumar Singh,38966,18.76,MKD,Sandeep Pandey,1133,0.55,1707,0.82,2356,1.13,207665,SUCI(C),Pravin Kumar Shukla,1012,0.49,IND,Bharat Ram Yadav,740,0.36,IND,Mustakim,604,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Mungra Badshahpur,VII,BSP,Sushma Patel,69557,34.04,BJP,Seema Dwivedi,63637,31.14,5920,2.90,INC,Ajay Shankar Dubey,59288,29.02,CPI,Subhas Chandra,2429,1.19,IND,Sushil,1659,0.81,2240,1.10,5522,2.70,204332,RLD,Chakrapani,1178,0.58,IND,Matapher Alias Tilakdhari,1164,0.57,NISHAD,Kamala Shankar,887,0.43,BMUP,Lalji,602,0.29,MWKD,Mustak Ahmad,495,0.24,IND,Akhilesh Kumar Tiwari,473,0.23,SHS,Nilesh Ravindranath,394,0.19,SPP,Neelam Kumar,329,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,Machhlishahr (SC),VII,SP,Jagdish Sonkar,72368,34.73,BJP,Anita Rawat,68189,32.73,4179,2.00,BSP,Sushila Saroj,52796,25.34,NISHAD,Ram Sevak,4484,2.15,CPI,Subas Chandra,1773,0.85,2165,1.04,6569,3.15,208344,IND,Lakshmi Saroj,1237,0.59,RLD,Mulchand,1070,0.51,RSP,Anil Kumar,960,0.46,SSAP,Chandan,900,0.43,OP,Sukhram,740,0.36,IND,Jai Prakash,495,0.24,IND,Bacchu Lal,445,0.21,MKD,Ram Sakal,418,0.20,MKP,Nandlal,304,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,Mariyahu,VII,AD(S),Leena Tiwari,58804,32.66,SP,Shraddha Yadav,47454,26.36,11350,6.30,BSP,Bholanath Shukla,37066,20.59,IND,Seema Singh,21440,11.91,IND,Lal Pratap,1690,0.94,1174,0.65,12415,6.90,180043,RLD,Banshnarayan Singh Patel,1450,0.81,IND,Munshi,1418,0.79,GGP,Ramdular Gond,1120,0.62,IEMC,Abbas Ahamad,1057,0.59,IND,Jagat Singh,923,0.51,LD,Sabhajeet Doobe,710,0.39,IND,Aganoo,701,0.39,MKP,Asharam,701,0.39,IND,Rajendra Prasad,655,0.36,IND,Rajesh,632,0.35,RSP,Pradeep Kumar Pal,544,0.30,SHS,Gulabchand Dubey,472,0.26,IND,Satish Kumar,459,0.25,IND,Harishchand,450,0.25,MKD,Nasim Ahmad,409,0.23,BMUP,Indresh Kumar Gautam,362,0.20,MBP,Mukteshwar,352,0.20,,,,,,,,,,,,,,,,,,,,
371,Zafrabad,VII,BJP,Dr Harendra Prasad Singh,85989,41.65,SP,Shachindra Nath Tripathi,61124,29.61,24865,12.04,BSP,Sanjiv Kuamr Upadhyay,45490,22.03,CPI,Jai Prakash,2845,1.38,RLD,Motilal Bind,1351,0.65,1198,0.58,8454,4.09,206451,LD,Ghan Shyam Dubey,1342,0.65,IND,Pradeep Nishad,1268,0.61,IND,Deepak Yadav Alias Pappu,1158,0.56,NYP,Anand Gopal Mishra,1015,0.49,IND,Ramlakhan Chauhan,932,0.45,IND,Rajendr,871,0.42,IND,Yogish Chandra Dubey,763,0.37,MKD,Chhotelal,471,0.23,BMUP,Pradeep,364,0.18,SJP(CS),Manoj,270,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Kerakat (SC),VII,BJP,Dinesh Chaudhary,84078,37.02,SP,Sanjai Kumar Saroj,68819,30.30,15259,6.72,BSP,Urmila Raj,66307,29.19,MKD,Vijai,2404,1.06,PMSP,Jitendra,1785,0.79,2557,1.13,1192,0.52,227142,MMD,Sadabrij,1192,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,Jakhanian (SC),VII,SBSP,Triveni Ram,84158,34.99,SP,Gareeb,79001,32.84,5157,2.15,BSP,Sanjiv Kumar,67077,27.89,NCP,Keshnath Prasad,2368,0.98,SJP(CS),Kunwer,1918,0.80,1837,0.76,4175,1.74,240534,CPI,Ramlal,1860,0.77,CPI(ML)(L),Lal Bahadur,1212,0.50,MKD,Ramjeet,1103,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,Saidpur (SC),VII,SP,Subhash Passi,76664,35.96,BJP,Vidyasagar Sonkar,67954,31.88,8710,4.08,BSP,Rajiv Kiran,59726,28.02,NISHAD,Santosh,2451,1.15,MKD,Sanjay,2118,0.99,1787,0.84,2488,1.17,213188,BMUP,Kamta Prasad,729,0.34,RPS,Santosh Kumar Ram,698,0.33,JANP,Ramashray Sonkar,443,0.21,JRP,Rohit Kumar,343,0.16,SJP(CS),Mahendra,275,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,Ghazipur,VII,BJP,Sangeeta,92090,43.12,SP,Rajesh Kushwaha,59483,27.85,32607,15.27,BSP,Santosh Kumar,54987,25.75,NISHAD,Jyotsana Singh,1418,0.66,CPI,Rudra Datt Tiwari,1137,0.53,1479,0.69,2964,1.39,213558,LD,Satyadev Yadav,728,0.34,IND,Ashok Kumar,593,0.28,JRP,Awadhesh,544,0.25,CPI(ML)(L),Yogendra,483,0.23,MKD,Angad,337,0.16,BMUP,Chandan,279,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Jangipur,VII,SP,Virendra Kumar Yadav,71441,33.29,BJP,Ram Naresh Kushwaha,68202,31.78,3239,1.51,BSP,Manish Chandra Pandey,67223,31.32,CPI,Manoj Kumar Singh,2381,1.11,JAM,Ajit Pratap Kushwaha,1478,0.69,1109,0.52,2788,1.30,214622,RLD,Neelabh Singh,1375,0.64,IND,Rajendra,804,0.37,LD,Satyadev Yadav,609,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,Zahoorabad,VII,SBSP,Om Prakash Rajbhar,86583,37.56,BSP,Kalicharan,68502,29.72,18081,7.84,SP,Mahendra,64574,28.01,NISHAD,Kanhaiya,2681,1.16,CPI,Shameem,1339,0.58,1500,0.65,5341,2.32,230520,RLD,Subhash,940,0.41,IND,Vijay Urf Rana Vijay Rajbhar,679,0.29,IND,Anand Bihari Rai,677,0.29,IND,Ram Autar,625,0.27,IND,Ramesh,515,0.22,AIFB,Jai Ram Pandey,440,0.19,IND,Ram Saran,439,0.19,PoPP,Divakar Tiwari,418,0.18,JRP,Prakash Singh Yadav,305,0.13,NP,Rajesh Kumar Chauhan,303,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,Mohammadabad,VII,BJP,Alka Rai,122156,53.08,BSP,Sibgatulla Ansari,89429,38.86,32727,14.22,INC,Janak Kumar,9910,4.31,CPI,Surendra,2503,1.09,IND,Jaigobind,901,0.39,2283,0.99,2962,1.29,230144,BMUP,Dilip Kumar,684,0.30,IND,Srikrishna,634,0.28,CPI(ML)(L),Sagir,565,0.25,JANP,Parmanand,556,0.24,SJP(CS),Svati,523,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,Zamania,VII,BJP,Sunita,76823,35.36,BSP,Atul Kumar,67559,31.10,9264,4.26,SP,Om Prakash,49557,22.81,IND,Kartar Singh Yadav,12206,5.62,JANP,Tauqeer Khan,6139,2.83,1857,0.85,3089,1.42,217230,CPI(ML)(L),Ram Pyare,1081,0.50,RPD,Harinarayan Singh Yadav,1028,0.47,JRP,Bharat,535,0.25,MKD,Renu,445,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Mughalsarai,VII,BJP,Sadhana Singh,87401,37.57,SP,Babulal,74158,31.88,13243,5.69,BSP,Tilak Dhari,57219,24.60,PMSP,Babban,7811,3.36,BMUP,Govind Lal,1109,0.48,1950,0.84,2969,1.28,232617,IND,Shaligram,736,0.32,MAP,Rajendra,602,0.26,IND,Ratan Lal,530,0.23,CPI(ML)(L),Shashikant,462,0.20,IND,Madina,378,0.16,PoPP,Shweta Pandey,261,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,Sakaldiha,VII,SP,Prabhunarayan Yadav,79875,39.47,BJP,Suryamuni Tiwari,64906,32.07,14969,7.40,BSP,Upendra,52175,25.78,RLD,Haridwar Singh Yadav,943,0.47,CPI(ML)(L),Ramesh,679,0.34,1787,0.88,2027,1.00,202392,IND,Babita Yadav,678,0.33,LD,Nasim Anshari,529,0.26,BMUP,Chandra Vijay Singh,511,0.25,BSD,Babu Lal,309,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,Saiyadraja,VII,BJP,Sushil Singh,78869,39.89,BSP,Shyam Narayan Singh,64375,32.56,14494,7.33,SP,Manoj Kumar,44832,22.67,RLD,Chandravansh,1498,0.76,IND,Tribhun Narayan,1448,0.73,1463,0.74,5239,2.65,197724,IND,Babu Lal,1088,0.55,IND,Brijesh Yadav,1020,0.52,PSSP,Chhavinath,760,0.38,BhMP,Chandrika,704,0.36,IND,Nityanand Yadav,386,0.20,IND,Kusum,381,0.19,IND,Chandrakala,341,0.17,JRP,Brijnath,308,0.16,JANP,Rajendra,251,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,Chakia (SC),VII,BJP,Sharada Prasad,96890,41.30,BSP,Jitendra Kumar,76827,32.75,20063,8.55,SP,Poonam,48687,20.75,CPIM,Sriprasad,3098,1.32,CPI(ML)(L),Anil Alias Anil Paswan,1447,0.62,3162,1.35,4476,1.91,234587,IND,Dharmendra,1423,0.61,JANP,Ramchandra,900,0.38,PMSP,Ramdhawal,847,0.36,BKP,Pardeshi,723,0.31,LEP,Radheshyam,583,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
